id,name,lat,lon,all_sz
0100002,Alabama Youth Services,,,16.0
0100005,Albertville City,34.256,-86.204,328.0
0100006,Marshall County,34.506,-86.234,409.0
0100007,Hoover City,33.343,-86.85,940.0
0100008,Madison City,34.696,-86.742,694.0
0100009,Al Inst Deaf And Blind,,,7.0
0100011,Leeds City,33.55,-86.572,128.0
0100012,Boaz City,34.204,-86.16,171.0
0100013,Trussville City,33.683,-86.571,333.0
0100018,Alabama School Of Fine Arts,,,36.0
0100030,Alexander City,32.906,-85.95,242.0
0100035,Learning Tree Inc,,,5.0
0100060,Andalusia City,31.308,-86.475,132.0
0100090,Anniston City,33.68,-85.796,161.0
0100100,Arab City,34.327,-86.498,192.0
0100120,Athens City,34.788,-86.964,249.0
0100180,Attalla City,34.024,-86.091,119.0
0100185,Saraland City,30.809,-88.083,186.0
0100188,Chickasaw City,,,66.0
0100189,Satsuma City,,,100.0
0100190,Alabaster City,,,479.0
0100194,Pelham City,,,243.0
0100210,Auburn City,32.599,-85.476,539.0
0100240,Autauga County,32.552,-86.567,759.0
0100270,Baldwin County,30.562,-87.678,2221.0
0100300,Barbour County,31.841,-85.499,73.0
0100330,Bessemer City,33.401,-86.954,327.0
0100360,Bibb County,33.0,-87.1,267.0
0100390,Birmingham City,33.52,-86.846,1749.0
0100420,Blount County,34.101,-86.468,652.0
0100450,Brewton City,31.117,-87.066,89.0
0100480,Bullock County,32.087,-85.706,112.0
0100510,Butler County,31.748,-86.692,246.0
0100540,Calhoun County,33.775,-85.936,729.0
0100600,Chambers County,32.93,-85.415,295.0
0100630,Cherokee County,34.139,-85.614,316.0
0100660,Chilton County,32.888,-86.693,603.0
0100690,Choctaw County,32.135,-88.27,134.0
0100720,Clarke County,31.628,-87.775,236.0
0100750,Clay County,33.27,-85.816,160.0
0100780,Cleburne County,33.646,-85.489,199.0
0100810,Coffee County,31.519,-85.943,157.0
0100840,Colbert County,34.703,-87.994,206.0
0100870,Conecuh County,31.439,-87.008,118.0
0100900,Coosa County,32.928,-86.227,90.0
0100930,Covington County,31.139,-86.399,218.0
0100960,Crenshaw County,31.694,-86.305,171.0
0100990,Cullman City,34.17,-86.842,232.0
0101020,Cullman County,34.043,-86.973,750.0
0101050,Dale County,31.531,-85.504,237.0
0101080,Daleville City,31.261,-85.737,88.0
0101110,Dallas County,32.216,-87.082,280.0
0101140,Dekalb County,34.345,-85.949,660.0
0101170,Decatur City,34.573,-86.99,642.0
0101200,Demopolis City,32.498,-87.83,180.0
0101230,Dothan City,31.225,-85.398,711.0
0101260,Elba City,31.403,-86.071,55.0
0101290,Elmore County,32.609,-86.146,843.0
0101320,Enterprise City,31.324,-85.85,500.0
0101350,Escambia County,31.13,-86.893,355.0
0101380,Etowah County,34.075,-86.193,701.0
0101410,Eufaula City,31.88,-85.172,203.0
0101440,Fairfield City,33.472,-86.919,146.0
0101470,Fayette County,33.682,-87.788,186.0
0101530,Florence City,34.826,-87.665,314.0
0101560,Fort Payne City,34.455,-85.7,230.0
0101590,Franklin County,34.446,-88.019,246.0
0101620,Gadsden City,34.024,-86.036,399.0
0101640,Geneva City,31.053,-85.883,96.0
0101660,Geneva County,31.095,-85.675,217.0
0101680,Greene County,32.907,-87.971,99.0
0101690,Guntersville City,34.346,-86.312,150.0
0101710,Hale County,32.788,-87.64,205.0
0101720,Haleyville City,34.231,-87.575,129.0
0101730,Hartselle City,34.429,-86.94,242.0
0101740,Henry County,31.525,-85.239,210.0
0101760,Homewood City,33.473,-86.796,281.0
0101770,Houston County,31.115,-85.203,499.0
0101800,Huntsville City,34.637,-86.643,1636.0
0101830,Jackson County,34.819,-85.85,443.0
0101860,Jacksonville City,33.814,-85.761,126.0
0101890,Jasper City,33.838,-87.281,204.0
0101920,Jefferson County,33.731,-86.812,2555.0
0101950,Lamar County,33.684,-88.101,185.0
0101980,Lanett City,32.864,-85.202,65.0
0102010,Lauderdale County,34.886,-87.824,660.0
0102040,Lawrence County,34.502,-87.309,378.0
0102070,Lee County,32.58,-85.195,733.0
0102100,Limestone County,34.885,-87.102,675.0
0102130,Linden City,32.354,-87.791,35.0
0102160,Lowndes County,32.155,-86.632,132.0
0102190,Macon County,32.396,-85.668,177.0
