sedacounty,tot_asmts_nam,cellcount_nam,mn_asmts_nam,avg_eb_nam,coh_eb_nam,grd_eb_nam,mth_eb_nam,avg_eb_se_nam,coh_eb_se_nam,grd_eb_se_nam,mth_eb_se_nam,sedacountyname,fips,stateabb
1001,109,43,2.534883720930233,1.968555176774639,,,,.2947666042553633,,,,Autauga County,1,AL
1003,1447,118,12.26271186440678,3.254296411932489,.1081244566765517,.8713624956257254,-.3868378639280561,.1654805607035235,.0305777140017489,.0551620189190918,.1589355686630636,Baldwin County,1,AL
1009,114,42,2.714285714285714,1.79814611058107,,,,.3409292018013232,,,,Blount County,1,AL
1015,312,85,3.670588235294117,2.221221639088243,,,,.2758294489541182,,,,Calhoun County,1,AL
1017,11,5,2.2,,,,,,,,,Chambers County,1,AL
1019,2446,110,22.23636363636364,2.355174099234964,.0215939553614294,.9956693009879122,-.5970413073086785,.17290253018695,.0367907482825471,.0517928654574119,.1462630460420697,Cherokee County,1,AL
1021,31,12,2.583333333333333,,,,,,,,,Chilton County,1,AL
1025,18,9,2,,,,,,,,,Clarke County,1,AL
1029,6,2,3,,,,,,,,,Cleburne County,1,AL
1031,702,108,6.5,2.914556723396662,,,,.2311305271785113,,,,Coffee County,1,AL
1033,166,54,3.074074074074074,,,,,,,,,Colbert County,1,AL
1039,28,13,2.153846153846154,,,,,,,,,Covington County,1,AL
1041,4,2,2,,,,,,,,,Crenshaw County,1,AL
1043,188,64,2.9375,2.277256415329483,,,,.3471601532727795,,,,Cullman County,1,AL
1045,204,64,3.1875,2.163038272621164,,,,.3061649807608303,,,,Dale County,1,AL
1049,11390,117,97.35042735042735,3.066606785639909,.0230556950664163,.9028181521834122,-.9010693784923882,.090032684818726,.0158239506850814,.0307668974224589,.0894183185880748,DeKalb County,1,AL
1051,218,73,2.986301369863014,2.102657581596259,,,,.2767364674245933,,,,Elmore County,1,AL
1053,2025,109,18.57798165137615,3.084825469442869,-.0521694369657947,.9005288235586355,-.1127563814134831,.1513743623073226,.0273034890487214,.0567501056786706,.1509100383349454,Escambia County,1,AL
1055,265,71,3.732394366197183,2.966046874030641,,,,.3248509800211394,,,,Etowah County,1,AL
1059,96,28,3.428571428571428,,,,,,,,,Franklin County,1,AL
1061,16,8,2,,,,,,,,,Geneva County,1,AL
1069,184,67,2.746268656716418,2.350551453103648,,,,.2574473653452692,,,,Houston County,1,AL
1071,5024,114,44.07017543859649,3.461505279395049,-.0566185728424955,.9172344110978196,-.4301309072257249,.1354194715139759,.0199629004114398,.0431447962561841,.1178632298083848,Jackson County,1,AL
1073,841,111,7.576576576576577,2.13894581307226,,,,.228999217190369,,,,Jefferson County,1,AL
1077,179,59,3.033898305084746,1.845910248925674,,,,.2870234352593639,,,,Lauderdale County,1,AL
1079,4708,118,39.89830508474576,3.226562186395352,.0306291055100782,.8466920937183131,-.8402431784069099,.1200920789169987,.0197099207059953,.0405325557114236,.1141106788333133,Lawrence County,1,AL
1081,355,83,4.27710843373494,2.983493106235043,,,,.2940170118488634,,,,Lee County,1,AL
1083,534,99,5.393939393939394,2.453805048714191,,,,.229844173441561,,,,Limestone County,1,AL
1089,13161,120,109.675,3.525534527092474,.0336349782782048,.9536890411780271,-.6481855659006526,.0958693303071443,.0163048239844223,.0314266452732604,.0913757779909733,Madison County,1,AL
1093,80,30,2.666666666666667,,,,,,,,,Marion County,1,AL
1095,374,89,4.202247191011236,2.894331518625226,,,,.2473615592785154,,,,Marshall County,1,AL
1097,5914,110,53.76363636363637,3.233069104298187,-.1093031472092725,.7522084094946493,-.44724021971669,.1074596020237515,.018033890034707,.0358590073331923,.1058836465085553,Mobile County,1,AL
1099,437,92,4.75,2.181159844674814,,,,.2909478772521579,,,,Monroe County,1,AL
1101,328,67,4.895522388059701,2.92281709682811,,,,.3180542915155378,,,,Montgomery County,1,AL
1103,751,106,7.084905660377358,2.932980029391777,,,,.2264270193420626,,,,Morgan County,1,AL
1109,180,59,3.050847457627119,2.922595640134412,,,,.2858744328858093,,,,Pike County,1,AL
1113,254,76,3.342105263157895,1.832144289860012,,,,.2943334684221522,,,,Russell County,1,AL
1115,134,52,2.576923076923077,1.784495743980548,,,,.2994015715696344,,,,St. Clair County,1,AL
1117,443,104,4.259615384615385,2.510692253815697,,,,.2475428103253606,,,,Shelby County,1,AL
1121,52,26,2,,,,,,,,,Talladega County,1,AL
1123,30,14,2.142857142857143,,,,,,,,,Tallapoosa County,1,AL
1125,304,88,3.454545454545455,2.210846787189465,,,,.2630348988239771,,,,Tuscaloosa County,1,AL
1127,67,25,2.68,,,,,,,,,Walker County,1,AL
1129,2446,109,22.44036697247707,1.530906289813284,.0983826885971954,.9306243321006719,-.7922533850606172,.1273208830884871,.0244780900241034,.0479576002098747,.132310292104382,Washington County,1,AL
1133,12,6,2,,,,,,,,,Winston County,1,AL
2013,917,72,12.73611111111111,2.393640989847427,,,.8667210830784352,.1796365528698687,,,.1780980060302536,Aleutians East Borough,2,AK
2016,586,83,7.060240963855422,2.534043490678673,,,,.2237413912060723,,,,Aleutians West Census Area,2,AK
2020,26514,84,315.6428571428572,1.053351421256597,.0602607439791465,1.123328540543608,.8599582714354084,.0808034121542189,.0218658800057675,.0331551761309767,.0858887116763304,Anchorage Municipality,2,AK
2050,29806,84,354.8333333333333,-1.808817712322606,-.0480623306294868,1.246651209571102,1.458305158661497,.081098619928759,.0223039458041164,.0331683090810171,.0863611755202509,Bethel Census Area,2,AK
2060,581,80,7.2625,1.936631685717921,,,,.1826075197707819,,,,Bristol Bay Borough,2,AK
2068,20,9,2.222222222222222,,,,,,,,,Denali Borough,2,AK
2070,5731,82,69.89024390243902,-.1882521808661338,-.0609282243212192,.9601771193353342,1.120855087929313,.0993258730884183,.0278893984706591,.0419152587070174,.1090154585721737,Dillingham Census Area,2,AK
2090,9851,72,136.8194444444445,1.152146199554888,-.034837559706887,1.013977300478172,.8804329227073143,.0953033460441145,.0305228710118136,.0421965617281581,.1034060269239082,Fairbanks North Star Borough,2,AK
2100,260,64,4.0625,.6652434669432605,,,,.2213245522504165,,,,Haines Borough,2,AK
2105,970,73,13.28767123287671,1.006658830182326,,,.4953397362258445,.1683278617317809,,,.1813018981840137,Hoonah-Angoon Census Area,2,AK
2110,6026,84,71.73809523809524,.5871276039131785,-.0301580326489854,1.208943077932144,.6787552196152301,.1078333578513559,.0290843366980285,.0447709422929807,.1148950184777536,Juneau City and Borough,2,AK
2122,6428,84,76.52380952380952,1.96413236256967,-.0427466825269338,1.050289302677455,.6717339467037575,.1003004305015556,.0276295335794767,.0416627811739581,.1075728230622749,Kenai Peninsula Borough,2,AK
2130,3901,80,48.7625,1.511979401602859,.0940387253620678,1.137756459589377,.3614903144216665,.1089135618812808,.0305222950480268,.0451735259407602,.1178734753233999,Ketchikan Gateway Borough,2,AK
2150,3202,81,39.53086419753087,1.999886506374527,.0231230475160426,1.06252824302638,.3516866779718108,.1240128762587043,.0341359109266779,.0520490946559462,.1336377543724786,Kodiak Island Borough,2,AK
2158,15737,83,189.6024096385542,-1.073396508523333,-.1314081484033243,.9544029190274848,1.670115624227676,.0863505108866322,.0243391314550309,.036164330588302,.0925259422840834,Kusilvak Census Area,2,AK
2164,1453,84,17.29761904761905,1.481520597829002,,,.9959826419284483,.1467367760180047,,,.1545659001646177,Lake and Peninsula Borough,2,AK
2170,15840,83,190.8433734939759,1.975584664456391,.0110543842372985,1.142534780721588,.4766725440979238,.0872311120867722,.0235288828912658,.0357443942871026,.0927326227980343,Matanuska-Susitna Borough,2,AK
2180,3245,84,38.63095238095238,.6205770839937759,,1.155270796636895,.8212647928518515,.133940959300884,,.0555404820862631,.1454602716636799,Nome Census Area,2,AK
2185,8150,84,97.02380952380952,-.2860573592419846,-.1586117200081681,1.0082598502861,1.253114501537898,.0937548794917366,.0269546319197056,.0396859326364005,.1032050258478608,North Slope Borough,2,AK
2188,11270,84,134.1666666666667,-.5145496263648377,-.1357147568056399,1.012748444267061,1.486021379779834,.0915390421244617,.0257265226609899,.0379782160856657,.0989787027706195,Northwest Arctic Borough,2,AK
2195,548,84,6.523809523809524,2.009429545813311,,,,.2311612753457396,,,,Petersburg Borough,2,AK
2198,3976,84,47.33333333333334,1.427645101833207,-.0712708654201,1.083954867421595,.395806202652314,.1134176755967581,.0314803060348959,.0471884292375467,.1229709120112964,Prince of Wales-Hyder Census Area,2,AK
2220,2144,73,29.36986301369863,1.987369259042268,,,.0321487951324973,.1382253250800001,,,.156416566286402,Sitka City and Borough,2,AK
2240,1337,78,17.14102564102564,.0548657096451328,,,.8085318600261295,.1627906710520728,,,.1725499107059263,Southeast Fairbanks Census Area,2,AK
2261,2452,82,29.90243902439024,1.735266081771802,-.0870206696378251,1.032698593713332,.8604099169065225,.1230376066238508,.0341055484877869,.0519999760093399,.1339776458947079,Valdez-Cordova Census Area,2,AK
2275,400,67,5.970149253731344,2.579444821997395,,,,.2324919571901074,,,,Wrangell City and Borough,2,AK
2282,424,75,5.653333333333333,1.912608114593104,,,,.2389613807052411,,,,Yakutat City and Borough,2,AK
2290,4889,69,70.85507246376811,.172957250886966,-.0723941266846357,1.036767046197459,.9867255835048251,.1100126034585428,.0363320408111798,.0493187570761531,.1203609765163695,Yukon-Koyukuk Census Area,2,AK
4001,94133,108,871.6018518518518,.1626609592984929,.0925258254758226,1.09953560281791,.3639699126334189,.0693653724031851,.0139747480529588,.0254126584745622,.0713653160645907,Apache County,4,AZ
4003,1130,90,12.55555555555556,2.285833528467558,,,-.0266359537270627,.1820183534906065,,,.185772033389167,Cochise County,4,AZ
4005,61514,104,591.4807692307693,.4516568803207738,.0802481692682903,1.112391747732914,.6532457961269189,.072925802111817,.0148829460041397,.0281116624552465,.0747516474458149,Coconino County,4,AZ
4007,16536,96,172.25,-.8189336384710785,.0417458847896186,1.061086298113409,.4749632894775098,.0880347425099726,.0216702973663296,.038215883895315,.0971616848906276,Gila County,4,AZ
4009,4368,105,41.6,.4655297594117772,.1499849577420087,1.013125690321274,.4976020994787735,.1129087368107468,.0237945447907197,.0427477292675517,.1185407692516494,Graham County,4,AZ
4011,259,72,3.597222222222222,2.064256521457974,,,,.2631122370248589,,,,Greenlee County,4,AZ
4012,3984,73,54.57534246575342,.839380040501299,-.0830115146306333,.9923693885105965,.2301789195899695,.1168844680437835,.0297892400093883,.0507444965030894,.1324534268948044,La Paz County,4,AZ
4013,130825,106,1234.198113207547,1.160294557743805,.0453517081946057,1.097935161598411,.3059406189731239,.0691878444402836,.0139676425002342,.0254744292186159,.0708566377081383,Maricopa County,4,AZ
4015,5815,84,69.22619047619048,.2904551896463079,.0213243789872863,1.141022933390816,.1906110797328941,.1125970672221979,.0252146096138183,.0458929404010279,.118364696920548,Mohave County,4,AZ
4017,85285,104,820.0480769230769,.2239725819441355,.0776340575335237,1.138664499716956,.4825162399819021,.0712907424497768,.014587252580296,.0272507885415842,.0728851868322883,Navajo County,4,AZ
4019,43457,102,426.0490196078431,.5667933940338952,.0124597063428462,.9785859243881003,.0806526205574433,.0759716185102577,.0166321052243343,.0304500074392052,.0794753014469645,Pima County,4,AZ
4021,26014,93,279.7204301075269,.6056357358282597,.0739226557835536,.980126003339856,.2890084848215225,.0809226066633558,.0193796428867315,.0352216435391958,.0863372420410218,Pinal County,4,AZ
4025,5687,104,54.68269230769231,1.123426396025117,-.0026784503249629,1.059398319527439,.1288993265349637,.1066845696772301,.022461874289345,.0412678223969625,.1117909616622769,Yavapai County,4,AZ
4027,2980,83,35.90361445783132,1.279809070390385,.1360862066275471,1.020836208510958,-.0313323201932218,.1413573321275112,.0344139343072848,.0577577488601106,.1464640125206648,Yuma County,4,AZ
5003,20,10,2,,,,,,,,,Ashley County,5,AR
5005,116,40,2.9,2.325956827888256,,,,.2854302222342091,,,,Baxter County,5,AR
5007,7160,115,62.26086956521739,2.758017834582158,-.0576174041795194,1.045772047422707,-.0554623076675259,.1013690662742107,.0187297607436394,.0356324803321574,.1036176714803101,Benton County,5,AR
5009,427,102,4.186274509803922,3.127914774101713,,,,.2517284997979942,,,,Boone County,5,AR
5015,115,41,2.804878048780488,1.319407781178634,,,,.3325150868404672,,,,Carroll County,5,AR
5019,75,31,2.419354838709677,,,,,,,,,Clark County,5,AR
5021,12,6,2,,,,,,,,,Clay County,5,AR
5023,116,44,2.636363636363636,1.268782085183756,,,,.3582629849427832,,,,Cleburne County,5,AR
5027,2,1,2,,,,,,,,,Columbia County,5,AR
5029,115,32,3.59375,4.090281182276075,,,,.3215879449024603,,,,Conway County,5,AR
5031,257,74,3.472972972972973,2.809861831725081,,,,.2983093153882254,,,,Craighead County,5,AR
5033,1457,97,15.02061855670103,1.900884040395479,.0640436616569304,1.092354892614461,-.1220504829749916,.1653243238427715,.028920533685244,.0565536162904953,.1638284162537123,Crawford County,5,AR
5035,90,34,2.647058823529412,,,,,,,,,Crittenden County,5,AR
5043,5,2,2.5,,,,,,,,,Drew County,5,AR
5045,595,107,5.560747663551401,3.256528788301682,,,,.2125755862323715,,,,Faulkner County,5,AR
